GrpId,ArtId,ArtPath,TitleId,AltTitleId,FlavorTextId,ReminderTextId,TypeTextId,SubtypeTextId,ArtistCredit,ArtSize,Rarity,ExpansionCode,DigitalReleaseSet,IsToken,IsPrimaryCard,IsDigitalOnly,IsRebalanced,RebalancedCardGrpId,DefunctRebalancedCardGrpId,AlternateDeckLimit,CollectorNumber,CollectorMax,UsesSideboard,OldSchoolManaText,LinkedFaceType,RawFrameDetail,Watermark,TextChangeData,Power,Toughness,Colors,ColorIdentity,FrameColors,IndicatorColors,Types,Subtypes,Supertypes,AbilityIds,HiddenAbilityIds,LinkedFaceGrpIds,LinkedAbilityTemplateCardGrpIds,AbilityIdToLinkedTokenGrpId,AbilityIdToLinkedConjurations,KnownSupportedStyles,AdditionalFrameDetails,ExtraFrameDetails,Tags,Order_LandLast,Order_ColorOrder,Order_CreaturesFirst,Order_ManaCostDifficulty,Order_CMCWithXLast,Order_Title,Order_MythicToCommon,Order_BasicLandsFirst
27212,104568,,4654,0,4655,0,261533,354,Greg Staples,0,4,10E,,0,1,0,0,0,0,0,317,383,0,o9,0,A,,,9,9,,,,,"1,2",35,,"14,86621:281895,88232:529614",,,,,,,,,,0,31,0,0,9,colossusofsardia,1,1
78136,51088,,24609,0,24610,0,16,0,Lars Grant-West,0,3,2XM,AHA5,0,1,0,0,0,0,0,148,332,0,o2oR,0,R,,,,,4,4,4,,10,,,"4800,4842",,,,,,DA,,,,0,3,1,1,3,trashfortreasure,2,1
78299,148257,,13680,0,1,0,11,0,Sam Burley,0,4,2XM,AHA4,0,1,0,0,0,0,0,311,332,0,,0,C land,,,,,,,,,5,,,"1152,91191:292088,9807",,,,,,DA,,,,1,31,1,0,0,blinkmothnexus,1,1
20760,77125,,5478,0,5479,0,8,629,Mark A. Nelson,0,4,5DN,,0,1,0,0,0,0,0,32,165,0,o6oUoU,0,U,,,5,6,2,2,2,,2,128,,"8,88347:282095",,,,,,,,,,0,1,0,2,8,hoverguardsweepers,1,1
20886,77200,,5639,0,1,0,8,5640,Jim Murray,0,4,5DN,,0,1,0,0,0,0,0,83,165,0,o7oGoG,0,,,,5,5,5,"3,4,2,1,5",5,,2,112,,"88412,14,7025",,,,7025:70797,,,,,,0,4,0,2,9,bringerofthegreen,1,1
20888,77201,,5643,0,1,0,8,5640,Christopher Moeller,0,4,5DN,,0,1,0,0,0,0,0,62,165,0,o7oRoR,0,,,,5,5,4,"3,5,2,1,4",4,,2,112,,"88412,14,7088",,,,,,,,,,0,3,0,2,9,bringeroftheredd,1,1
20890,77202,,5646,0,1,0,8,5640,Greg Staples,0,4,5DN,,0,1,0,0,0,0,0,26,165,0,o7oUoU,0,,,,5,5,2,"3,5,4,1,2",2,,2,112,,"88412,14,7082",,,,,,,,,,0,1,0,2,9,bringeroftheblue,1,1
20892,77203,,5649,0,1,0,8,5640,Carl Critchlow,0,4,5DN,,0,1,0,0,0,0,0,43,165,0,o7oBoB,0,,,,5,5,3,"5,4,2,1,3",3,,2,112,,"88412,14,7027",,,,,,,,,,0,2,0,2,9,bringeroftheblack,1,1
20894,77204,,5652,0,1,0,8,5640,Kev Walker,0,4,5DN,,0,1,0,0,0,0,0,7,165,0,o7oWoW,0,,,,5,5,1,"3,5,4,2,1",1,,2,112,,"88412,14,6937",,,,,,,,,,0,0,0,2,9,bringerofthewhite,1,1
19577,49243,,6980,0,6981,0,9,0,Carl Critchlow,0,4,8ED,AHA1,0,1,0,0,0,0,0,152,350,0,o1oBoB,0,,,,,,3,3,3,,3,,,1706,,,,,,DA,,,,0,2,1,2,3,phyrexianarena,1,1
